sourcename,nimean,nilow,niup,ejmean,ejlow,ejup,radmean,radlow,radup,ekmean,eklow,ekup,etmean,etlow,etup,velmean,vellow,velup,peakr,peakrhost,volumefac
ZTF21aaqugxm,0.1761,0.010099999999999998,0.007599999999999996,5.406,0.25399999999999956,0.29100000000000037,478.0796320252983,13490000000000.0,12540000000000.0,1.911e+51,1.0899999999999996e+50,1.0500000000000004e+50,9.084e+50,2.5300000000000003e+50,6.2759999999999995e+50,7682.0,251.0,259.0,-18.12,-18.12,3.3750000000000024e+21
ZTF23abhzfww,0.1368,0.0030999999999999917,0.005299999999999999,15.886,0.8729999999999993,0.7789999999999999,823.1996550237171,12820000000000.0,12990000000000.0,5.898e+51,4.609999999999997e+50,4.120000000000003e+50,1.046e+51,1.8859999999999998e+50,3.1800000000000006e+50,7890.0,238.0,224.0,-17.62,-17.62,3.3750000000000024e+21
ZTF22abnujbv,0.02449,0.0008000000000000021,0.0007399999999999976,8.785,0.35100000000000087,0.42900000000000027,259.45091274974845,6720000000000.0,20670000000000.0,1.991e+51,1.0000000000000013e+50,1.049999999999997e+50,7.191e+50,3.803e+50,4.1789999999999995e+50,6156.0,218.0,207.0,-16.42,-16.42,3.3750000000000024e+21
ZTF24abtczty,0.003465,4.000000000000097e-06,8.999999999999894e-06,5.727,0.32400000000000073,0.2959999999999994,542.6189449475348,3890000000000.0,5570000000000.0,2.092e+50,1.169999999999999e+49,1.1499999999999994e+49,2.653e+49,3.290000000000002e+48,3.2499999999999966e+48,2474.0,91.0,97.0,-14.131803326809418,-14.131803326809418,3.3750000000000024e+21
ZTF22aativsd,0.2074,0.007800000000000001,0.009199999999999986,11.749,0.6820000000000004,0.6189999999999998,141.35403191030616,532000000000.0,976000000000.0,6.39e+51,4.269999999999997e+50,3.539999999999994e+50,9.136e+51,7.959999999999998e+50,6.960000000000003e+50,9513.0,252.0,279.0,-18.15,-18.15,3.3750000000000024e+21
ZTF19acewuwn,0.1303,0.007300000000000001,0.010899999999999993,15.008,1.1069999999999993,1.1610000000000014,107.47448612907863,1709759999999.998,2303000000000.0,5.926e+51,5.859999999999997e+50,6.61e+50,4.128e+51,1.0660000000000001e+51,1.1839999999999999e+51,8123.0,363.0,382.0,-16.96,-16.96,3.3750000000000024e+21
ZTF23aailjjs,0.1176,0.006099999999999994,0.0022000000000000075,13.515,0.6420000000000012,0.39199999999999946,280.86819031191607,2010000000000.0,2200000000000.0,9.632e+51,5.959999999999995e+50,2.6100000000000013e+50,3.433e+51,3.360000000000004e+50,3.839999999999995e+50,10970.0,420.0,80.0,-17.91,-17.91,3.3750000000000024e+21
ZTF20aapchqy,0.001061,3.0000000000001813e-06,1.9999999999998318e-06,7.562,0.2140000000000004,0.5919999999999996,197.3551818312491,1000000000000.0,730000000000.0,2.874e+50,8.9e+48,3.12e+49,8.121e+49,4.409999999999995e+48,6.169999999999997e+48,2510.0,69.0,110.0,-14.23,-14.23,3.451437393358564e+20
ZTF24aaemydm,0.1208,0.0102,0.0010999999999999899,14.343,0.6470000000000002,0.6479999999999997,154.66436682478079,1165000000000.0,420000000000.0,9.896e+51,8.690000000000008e+50,7.799999999999921e+49,6.322e+51,2.5600000000000055e+50,7.380000000000002e+50,10770.0,650.0,40.0,-18.01,-18.01,3.3750000000000024e+21
ZTF21acgrrnl,0.03855,0.0003799999999999984,0.0005999999999999964,12.67,0.9009999999999998,0.8559999999999999,381.7737530544775,4760000000000.0,2510000000000.0,2.401e+51,3.8500000000000014e+50,2.379999999999999e+50,5.908e+50,6.26e+49,1.4090000000000004e+50,5594.0,287.0,170.0,-16.31,-16.31,3.3750000000000024e+21
ZTF23abaxtlq,0.01798,0.00032000000000000084,0.0002699999999999994,10.689,0.5080000000000009,0.4919999999999991,809.2568635906282,5630000000000.0,5940000000000.0,2.305e+51,1.2599999999999998e+50,1.5700000000000007e+50,2.764e+50,2.5900000000000016e+49,3.019999999999998e+49,6003.0,184.0,196.0,-16.37,-16.37,3.3750000000000024e+21
ZTF21aaeqwov,0.05301,0.0005300000000000027,0.002459999999999997,18.135,0.968,0.8729999999999976,107.21575391691822,1037000000000.0,6791000000000.0,5.419e+51,3.4399999999999958e+50,3.460000000000002e+50,3.289e+51,1.5780000000000002e+51,4.600000000000001e+50,7077.0,236.0,272.0,-16.39,-16.39,3.3750000000000024e+21
